ID_INTERNO,IDENTIFICACION,NOMBRE,APELLIDO,CORREO,TELEFONO,DIRECCION,VIGENCIA,TIPO_HECHO,GENERO,ESTADO_CIVIL,NACIONALIDAD,DEPA_PRO_COLEGIO,CIUDAD_PRO_COLEGIO,DEPA_RESI,CIUDAD_RESI,MODALIDAD,METODOLOGIA,JORNADA,FACULTAD,PROGRAMA,SEMESTRE,SEDE,CONDICION_ESTUDIANTE,COLEGIO,NATURALEZA_COLEGIO,RAZA,DISCAPACIDAD,EPS,ESTRATO,METODO DE PAGO,ESTADO DE CURSO
11,1018884433,Fernando,Velásquez Quintero,fernando.velásquez11@uqvirtual.edu.co,3104757948,"Calle 26 # 22 - 24, Bogotá D.C.",2019-2,Inscrito,Hombre,Casado,Colombiano,Cundinamarca,Bogotá D.C.,Cundinamarca,Bogotá D.C.,Pregrado,Virtual,Diurna,Fac. Ciencias Humanas y Bellas Artes,CIDBA,9,Armenia,Sin info,COLEGIO NUEVA ROMA (IED),Oficial,Blanca,NO APLICA,COMPENSAR EPS,4,Icetex,Cursando
12,1028217662,Daniel,Espinoza Espinoza,daniel.espinoza12@uqvirtual.edu.co,3161115250,"Calle 47 # 11 - 64, Quimbaya",2019-2,Inscrito,Hombre,Soltero,Colombiano,Quindío,Armenia,Quindío,Quimbaya,Pregrado,Presencial,Diurna,"Fac. Ciencias Economicas, adtivas y contables",Economia,3,Armenia,Sin info,COLEGIO COMFENALCO,Privada,Blanca,NO APLICA,SURA,2,De contado,Cursando
13,1094990477,Esteban,Santana Delgado,esteban.santana13@uqvirtual.edu.co,3139065435,"Calle 39 # 5 - 57, Taminango",2019-2,Inscrito,Hombre,Soltero,Colombiano,Nariño,Taminango,Nariño,Taminango,Pregrado,Presencial,Diurna,Fac. Ingenieria,Ingenieria Civil,1,Armenia,Sin info,INSTITUCION EDUCATIVA PABLO VI,Oficial,Mestiza,NO APLICA,OTRO,1,Credito propio,Cursando
14,1038306829,Nicolás,Vásquez Arias,nicolás.vásquez14@uqvirtual.edu.co,3178743778,"Calle 1 # 1 - 25, Pereira",2019-2,Inscrito,Hombre,Soltero,Colombiano,Risaralda,Pereira,Risaralda,Pereira,Pregrado,Presencial,Diurna,Fac. Ciencias Basicas y Tecnologias,Biologia,10,Armenia,Sin info,IE INEM FELIPE PEREZ,Oficial,Mestiza,NO APLICA,SALUD TOTAL EPS,2,De contado,Finalizado
15,1094145851,Alejandra,Moreno Gallego,alejandra.moreno15@uqvirtual.edu.co,3199257093,"Calle 15 # 3 - 48, Bogotá D.C.",2019-2,Inscrito,Mujer,Separado,Colombiano,Cundinamarca,Bogotá D.C.,Cundinamarca,Bogotá D.C.,Pregrado,Virtual,Diurna,Fac. Ciencias Humanas y Bellas Artes,CIDBA,10,Armenia,Sin info,COLEGIO REPUBLICA DE PANAMA (IED),Oficial,Mestiza,NO APLICA,COMPENSAR EPS,2,De contado,Finalizado
16,1091261555,Felipe,Santana Salazar,felipe.santana16@uqvirtual.edu.co,3223330466,"Calle 2 # 22 - 95, Sandona",2019-2,Inscrito,Hombre,Soltero,Colombiano,Nariño,Sandona,Nariño,Sandona,Pregrado,Presencial,Diurna,Fac. Ingenieria,Ingenieria Civil,7,Armenia,Sin info,INSTITUCION EDUCATIVA SANTO TOMAS DE AQUINO,Oficial,Mestiza,NO APLICA,EMMSANAR,1,Icetex,Abandonado
17,1079130751,Carlos,Villada Escobar,carlos.villada17@uqvirtual.edu.co,3182569542,"Calle 42 # 29 - 70, Guachucal",2019-2,Inscrito,Hombre,Soltero,Colombiano,Nariño,Guachucal,Nariño,Guachucal,Pregrado,Presencial,Diurna,Fac. Ciencias Basicas y Tecnologias,Biologia,10,Armenia,Sin info,INSTITUCION EDUCATIVA GENARO LEON,Oficial,Mestiza,NO APLICA,OTRO,1,Icetex,Finalizado
18,1025843584,Luisa,Bermúdez Sierra,luisa.bermúdez18@uqvirtual.edu.co,3173672831,"Calle 7 # 14 - 10, Cumbal",2019-2,Inscrito,Mujer,Soltero,Colombiano,Nariño,Cumbal,Nariño,Cumbal,Pregrado,Presencial,Diurna,Fac. Ingenieria,Ingenieria Civil,5,Armenia,Sin info,INSTITUCION EDUCATIVA JOSE ANTONIO LLORENTE,Oficial,Mestiza,NO APLICA,OTRO,1,De contado,Abandonado
19,1096186568,Lucía,Zuluaga Ibarra,lucía.zuluaga19@uqvirtual.edu.co,3183934380,"Calle 23 # 18 - 11, Armenia",2019-2,Inscrito,Mujer,Casado,Colombiano,Quindío,Armenia,Quindío,Armenia,Pregrado,Presencial,Nocturna,"Fac. Ciencias Economicas, adtivas y contables",Contaduria Publica,6,Armenia,Sin info,CRISTOBAL COLON,Oficial,Mestiza,NO APLICA,MINISTERIO DE DEFENSA - POLICÍA NACIONAL,2,Icetex,Abandonado
20,1068469969,Ximena,Martínez Muñoz,ximena.martínez20@uqvirtual.edu.co,3112127125,"Calle 33 # 2 - 38, Armenia",2019-2,Inscrito,Mujer,Soltero,Colombiano,Quindío,Armenia,Quindío,Armenia,Pregrado,Presencial,Diurna,Fac. Ingenieria,Ing. de Sistemas y Computacion,2,Armenia,Sin info,INSTITUTO TECNICO INDUSTRIAL,Oficial,Mestiza,NO APLICA,NUEVA EPS,1,Credito propio,Cursando
21,1062229415,Valentina,Reyes Marín,valentina.reyes21@uqvirtual.edu.co,3198983674,"Calle 13 # 3 - 89, Manizales",2019-2,Inscrito,Mujer,Soltero,Colombiano,Caldas,Manizales,Caldas,Manizales,Pregrado,Distancia,Diurna,Fac. Ciencias de la Salud,Seguridad y Salud en el Trabajo,1,Manizales,Sin info,INSTITUCIÓN EDUCATIVA SAN JORGE,Oficial,Blanca,NO APLICA,MINISTERIO DE DEFENSA - POLICÍA NACIONAL,4,Credito propio,Cursando
22,1008841220,Julián,Toro Torres,julián.toro22@uqvirtual.edu.co,3124947639,"Calle 46 # 22 - 77, Valle Del Guamuez",2019-2,Inscrito,Hombre,Soltero,Colombiano,Putumayo,Valle Del Guamuez,Putumayo,Valle Del Guamuez,Pregrado,Presencial,Diurna,Fac. Ciencias de la Salud,Gerontologia,8,Armenia,Sin info,IE RUR EL TIGRE,Oficial,Mestiza,NO APLICA,EMMSANAR,1,De contado,Cursando
23,1000613199,Manuel,Álvarez Torres,manuel.álvarez23@uqvirtual.edu.co,3224031547,"Calle 36 # 6 - 21, Dos Quebradas",2019-2,Inscrito,Hombre,Soltero,Colombiano,Risaralda,Pereira,Risaralda,Dos Quebradas,Pregrado,Virtual,Diurna,Fac. Ciencias Humanas y Bellas Artes,CIDBA,7,Armenia,Sin info,IE HERNANDO VELEZ MARULANDA,Oficial,Mestiza,NO APLICA,SERVICIOOCCIDENTALDESALUD,2,Credito propio,Cursando
24,1087207204,Sebastián,Acevedo Aguirre,sebastián.acevedo24@uqvirtual.edu.co,3151312306,"Calle 29 # 13 - 17, Santa Rosa De Cabal",2019-2,Inscrito,Hombre,Union Libre,Colombiano,Caldas,Manizales,Risaralda,Santa Rosa De Cabal,Pregrado,Distancia,Diurna,"Fac. Ciencias Economicas, adtivas y contables",Admon. Financiera,6,Pereira,Sin info,INSTITUCIÓN EDUCATIVA CHIPRE,Oficial,Mestiza,NO APLICA,SERVICIOOCCIDENTALDESALUD,3,Credito propio,Abandonado
25,1036969992,Cristina,Chica Giraldo,cristina.chica25@uqvirtual.edu.co,3123835198,"Calle 4 # 29 - 71, Santiago De Cali",2019-2,Inscrito,Mujer,Soltero,Colombiano,Atlántico,Barranquilla,Valle Del Cauca,Santiago De Cali,Pregrado,Virtual,Diurna,Fac. Ciencias Humanas y Bellas Artes,CIDBA,10,Armenia,Sin info,ESCUELA NORMAL SUPERIOR DEL DISTRITO DE BARRANQUILLA,Oficial,Blanca,NO APLICA,COOMEVA EPS,3,Credito propio,Finalizado
26,1089697768,Camila,Delgado Correa,camila.delgado26@uqvirtual.edu.co,3135628828,"Calle 49 # 29 - 36, Santiago De Cali",2019-2,Inscrito,Mujer,Soltero,Colombiano,Valle Del Cauca,Santiago De Cali,Valle Del Cauca,Santiago De Cali,Pregrado,Distancia,Diurna,Fac. Ciencias de la Salud,Seguridad y Salud en el Trabajo,3,Cali,Sin info,CENTRO EDUCATIVO FE Y ALEGRIA MADRE SIFFREDI,Privada,Mestiza,NO APLICA,SALUD TOTAL EPS,2,Icetex,Abandonado
27,1088637874,Luis,Rojas Gómez,luis.rojas27@uqvirtual.edu.co,3194045172,"Calle 32 # 3 - 56, Armenia",2019-2,Inscrito,Hombre,Soltero,Sin registro,Sin Depto,Sin Ciudad,Quindío,Armenia,Postgrado,Presencial,Diurna,"Fac. Ciencias Economicas, adtivas y contables",Maestria en Admon,3,Armenia,Sin info,Sin colegio,Sin info,Sin info,Sin info,Sin info,1,Icetex,Cursando
28,1054859131,Marta,Morales Arias,marta.morales28@uqvirtual.edu.co,3109321693,"Calle 18 # 17 - 24, Calarca",2019-2,Inscrito,Mujer,Soltero,Colombiano,Quindío,Calarca,Quindío,Calarca,Pregrado,Presencial,Nocturna,Fac. de ciencias agroindustriales,Ingenieria de Alimentos,10,Armenia,Sin info,TECNOL¿GICO,Oficial,Mestiza,NO APLICA,ASMETSALUD,1,Icetex,Finalizado
29,1052324679,Camila,Sierra Cortés,camila.sierra29@uqvirtual.edu.co,3156160681,"Calle 6 # 24 - 41, Santiago De Cali",2019-2,Inscrito,Mujer,Soltero,Colombiano,Valle Del Cauca,Santiago De Cali,Valle Del Cauca,Santiago De Cali,Pregrado,Virtual,Diurna,Fac. Ciencias Humanas y Bellas Artes,CIDBA,10,Armenia,Sin info,INSTITUCION EDUCATIVA ALFONSO LOPEZ PUMAREJO,Oficial,Mestiza,NO APLICA,OTRO,3,Icetex,Finalizado
30,1038932781,Diego,Aguirre Restrepo,diego.aguirre30@uqvirtual.edu.co,3127086085,"Calle 20 # 13 - 21, Armenia",2019-2,Inscrito,Hombre,Soltero,Colombiano,Quindío,Armenia,Quindío,Armenia,Pregrado,Presencial,Nocturna,"Fac. Ciencias Economicas, adtivas y contables",Contaduria Publica,2,Armenia,Sin info,INSTITUTO TECNICO INDUSTRIAL,Oficial,Mestiza,NO APLICA,ASMETSALUD,1,Credito propio,Abandonado
31,1001777419,Catalina,Ibarra Aguirre,catalina.ibarra31@uqvirtual.edu.co,3104601297,"Calle 30 # 14 - 99, Bogotá D.C.",2019-2,Inscrito,Mujer,Soltero,Colombiano,Cundinamarca,Bogotá D.C.,Cundinamarca,Bogotá D.C.,Pregrado,Virtual,Diurna,Fac. Ciencias Humanas y Bellas Artes,CIDBA,7,Armenia,Sin info,COLEGIO INEM FRANCISCO DE PAULA SANTANDER (IED),Oficial,Blanca,NO APLICA,COMPENSAR EPS,2,Credito propio,Cursando
32,1060764233,Daniel,Delgado González,daniel.delgado32@uqvirtual.edu.co,3224457727,"Calle 24 # 12 - 21, Popayan",2019-2,Inscrito,Hombre,Soltero,Colombiano,Cauca,Popayan,Cauca,Popayan,Pregrado,Virtual,Diurna,Fac. Ciencias Humanas y Bellas Artes,CIDBA,9,Armenia,Sin info,INEM FCO JOSE DE CALDAS,Oficial,Mestiza,NO APLICA,EMMSANAR,1,Credito propio,Cursando
33,1011594973,Cristian,González Hincapié,cristian.gonzález33@uqvirtual.edu.co,3159996329,"Calle 10 # 17 - 24, Santiago De Cali",2019-2,Inscrito,Hombre,Soltero,Colombiano,Valle Del Cauca,Santiago De Cali,Valle Del Cauca,Santiago De Cali,Pregrado,Distancia,Diurna,Fac. Ciencias de la Salud,Seguridad y Salud en el Trabajo,10,Cali,Sin info,BOSQUECITO ENCANTADO Y COLEGIO EL BOSQUE,Privada,Mestiza,NO APLICA,SURA,2,Credito propio,Finalizado
34,1074631241,Liliana,Muñoz López,liliana.muñoz34@uqvirtual.edu.co,3151729585,"Calle 45 # 5 - 5, Buga",2019-2,Inscrito,Mujer,Casado,Colombiano,Valle Del Cauca,Buga,Valle Del Cauca,Buga,Pregrado,Distancia,Diurna,Fac. Ciencias de la Salud,Seguridad y Salud en el Trabajo,9,Buga,Sin info,IE ACADEMICO,Oficial,Mestiza,NO APLICA,NUEVA EPS,1,De contado,Cursando
35,1020604054,María,Granada López,maría.granada35@uqvirtual.edu.co,3114005001,"Calle 8 # 28 - 80, Armenia",2019-2,Inscrito,Mujer,Casado,Colombiano,Quindío,Armenia,Quindío,Armenia,Pregrado,Distancia,Diurna,Fac. Ciencias de la Salud,Seguridad y Salud en el Trabajo,10,Armenia,Sin info,CRISTOBAL COLON,Oficial,Mestiza,NO APLICA,SANITAS EPS,2,Credito propio,Finalizado
36,1013363805,Elena,Santana Correa,elena.santana36@uqvirtual.edu.co,3225758017,"Calle 12 # 2 - 61, Bogotá D.C.",2019-2,Inscrito,Mujer,Soltero,Colombiano,Cundinamarca,Bogotá D.C.,Cundinamarca,Bogotá D.C.,Pregrado,Virtual,Diurna,Fac. Ciencias Humanas y Bellas Artes,CIDBA,5,Armenia,Sin info,COLEGIO SANTO DOMINGO BILINGÜE,Privada,Mestiza,NO APLICA,FAMISANAR EPS,3,Credito propio,Abandonado
37,1023307449,María,Mejía Chica,maría.mejía37@uqvirtual.edu.co,3133890774,"Calle 13 # 16 - 86, Popayan",2019-2,Inscrito,Mujer,Soltero,Colombiano,Cauca,Popayan,Cauca,Popayan,Pregrado,Virtual,Diurna,Fac. Ciencias Humanas y Bellas Artes,CIDBA,7,Armenia,Sin info,COL HOGAR MADRE DE DIOS,Privada,Mestiza,NO APLICA,SERVICIOOCCIDENTALDESALUD,4,De contado,Abandonado
38,1015647367,Gabriela,Fernández Marín,gabriela.fernández38@uqvirtual.edu.co,3211477899,"Calle 26 # 11 - 26, Carepa",2019-2,Inscrito,Mujer,Soltero,Colombiano,Antioquia,Apartado,Antioquia,Carepa,Pregrado,Virtual,Diurna,Fac. Ciencias Humanas y Bellas Artes,CIDBA,10,Armenia,Sin info,INSTITUTO CORFERRINI,Privada,Negra,NO APLICA,CAFESALUD,2,Icetex,Finalizado
39,1066934437,Oscar,Morales Torres,oscar.morales39@uqvirtual.edu.co,3184809797,"Calle 40 # 4 - 21, Armenia",2019-2,Inscrito,Hombre,Soltero,Colombiano,Quindío,Armenia,Quindío,Armenia,Pregrado,Presencial,Diurna,"Fac. Ciencias Economicas, adtivas y contables",Contaduria Publica,8,Armenia,Sin info,INEM JOSE CELESTINO MUTIS,Oficial,Negra,NO APLICA,OTRO,1,Credito propio,Cursando
40,1024584716,Leonardo,Acosta Martínez,leonardo.acosta40@uqvirtual.edu.co,3209811410,"Calle 19 # 24 - 41, Armenia",2019-2,Inscrito,Hombre,Soltero,Colombiano,Cauca,Purace,Quindío,Armenia,Pregrado,Presencial,Mixta,Fac. Ciencias Humanas y Bellas Artes,Filosofia,9,Armenia,Sin info,I.E.A. GUILLERMO LEON VALENCIA,Oficial,Mestiza,NO APLICA,OTRO,1,Icetex,Abandonado
41,1023468698,Pedro,Cano Hernández,pedro.cano41@uqvirtual.edu.co,3104090380,"Calle 13 # 14 - 78, Calarca",2019-2,Inscrito,Hombre,Casado,Colombiano,Nariño,Buesaco,Quindío,Calarca,Pregrado,Distancia,Diurna,Fac. de ciencias agroindustriales,Tec. Agropecuaria,10,Armenia,Sin info,INSTITUCION EDUCATIVA SANTA MARIA,Oficial,Mestiza,NO APLICA,CAFESALUD,1,De contado,Finalizado
42,1027175492,Gabriela,Salazar Murillo,gabriela.salazar42@uqvirtual.edu.co,3131913912,"Calle 23 # 17 - 38, Bogotá D.C.",2019-2,Inscrito,Mujer,Casado,Colombiano,Cundinamarca,Bogotá D.C.,Cundinamarca,Bogotá D.C.,Pregrado,Virtual,Diurna,Fac. Ciencias Humanas y Bellas Artes,CIDBA,10,Armenia,Sin info,COLEGIO SAN JOSE DE CASTILLA (IED),Oficial,Mestiza,PARÁLISIS CEREBRAL,NUEVA EPS,2,Credito propio,Finalizado
43,1040692283,Camila,Jiménez Uribe,camila.jiménez43@uqvirtual.edu.co,3117864857,"Calle 44 # 29 - 56, Calarca",2019-2,Inscrito,Mujer,Soltero,Colombiano,Quindío,Calarca,Quindío,Calarca,Pregrado,Presencial,Nocturna,"Fac. Ciencias Economicas, adtivas y contables",Contaduria Publica,8,Armenia,Sin info,SAN JOSE,Oficial,Blanca,NO APLICA,CAFÉ SALUD,2,De contado,Abandonado
44,1047820767,Marcela,Espinoza Espinoza,marcela.espinoza44@uqvirtual.edu.co,3191652068,"Calle 15 # 26 - 91, Armenia",2019-2,Inscrito,Mujer,Soltero,Colombiano,Tolima,Carmen Apicala,Quindío,Armenia,Pregrado,Presencial,Diurna,"Fac. Ciencias Economicas, adtivas y contables",Administracion Negocios Presencial,5,Armenia,Sin info,INSTITUCION EDUCATIVA TECNICA PEDRO PABON PARGA,Oficial,Mestiza,NO APLICA,SISBEN,1,Icetex,Abandonado
45,1001391577,Daniela,Holguín Rodríguez,daniela.holguín45@uqvirtual.edu.co,3204736013,"Calle 25 # 9 - 30, Armenia",2019-2,Inscrito,Mujer,Soltero,Colombiano,Boyacá,Duitama,Quindío,Armenia,Pregrado,Presencial,Diurna,Fac. Ciencias Humanas y Bellas Artes,Artes Visuales,10,Armenia,Sin info,COLEGIO SAN JOSE DE CALASANZ,Privada,Blanca,NO APLICA,SISBEN,1,Icetex,Finalizado
46,1005611965,Yerson,Sierra Martínez,yerson.sierra46@uqvirtual.edu.co,3128468983,"Calle 3 # 10 - 32, Quimbaya",2019-2,Inscrito,Hombre,Soltero,Colombiano,Quindío,Quimbaya,Quindío,Quimbaya,Pregrado,Presencial,Diurna,Fac. Ingenieria,Ingeniera Electronica,10,Armenia,Sin info,RAMON MESSA LONDOÑO,Oficial,Mestiza,NO APLICA,COOMEVA EPS,2,Credito propio,Finalizado
47,1042154479,Valentina,Arango Ortiz,valentina.arango47@uqvirtual.edu.co,3146117127,"Calle 25 # 26 - 20, Bogotá D.C.",2019-2,Inscrito,Mujer,Union Libre,Colombiano,Cundinamarca,Bogotá D.C.,Cundinamarca,Bogotá D.C.,Pregrado,Virtual,Diurna,Fac. Ciencias Humanas y Bellas Artes,CIDBA,4,Armenia,Sin info,COLEGIO NUEVO CHILE (IED),Oficial,Blanca,NO APLICA,CRUZ BLANCA,2,De contado,Cursando
48,1089663196,Manuel,Gallego Escobar,manuel.gallego48@uqvirtual.edu.co,3217710135,"Calle 3 # 3 - 86, La Calera",2019-2,Inscrito,Hombre,Casado,Colombiano,Cundinamarca,Bogotá D.C.,Cundinamarca,La Calera,Pregrado,Virtual,Diurna,Fac. Ciencias Humanas y Bellas Artes,CIDBA,3,Armenia,Sin info,VALIDANTE ICFES,Oficial,Blanca,NO APLICA,FAMISANAR EPS,2,Credito propio,Cursando
49,1029635718,Paula,Pérez Cano,paula.pérez49@uqvirtual.edu.co,3202444075,"Calle 10 # 16 - 6, Santiago De Cali",2019-2,Inscrito,Mujer,Soltero,Colombiano,Valle Del Cauca,Santiago De Cali,Valle Del Cauca,Santiago De Cali,Pregrado,Distancia,Diurna,"Fac. Ciencias Economicas, adtivas y contables",Admon. Financiera,6,Cali,Sin info,LICEO SANTISIMA TRINIDAD,Privada,Mestiza,NO APLICA,SERVICIOOCCIDENTALDESALUD,3,Icetex,Cursando
50,1044325930,Juliana,Torres Escobar,juliana.torres50@uqvirtual.edu.co,3225864441,"Calle 32 # 15 - 70, Filandia",2019-2,Inscrito,Mujer,Soltero,Colombiano,Quindío,Filandia,Quindío,Filandia,Pregrado,Presencial,Diurna,"Fac. Ciencias Economicas, adtivas y contables",Contaduria Publica,10,Armenia,Sin info,LICEO ANDINO DE LA SANTISIMA TRINIDAD,Oficial,Blanca,NO APLICA,CAFESALUD,1,Credito propio,Finalizado
51,1005930980,Leonardo,Cano Díaz,leonardo.cano51@uqvirtual.edu.co,3227621563,"Calle 27 # 27 - 82, Armenia",2019-2,Inscrito,Hombre,Union Libre,Colombiano,Quindío,Armenia,Quindío,Armenia,Pregrado,Presencial,Diurna,Fac. de Educacion,Lic. en Lenguas Modernas con enfasis en Ingles y Frances,7,Armenia,Sin info,INEM JOSE CELESTINO MUTIS,Oficial,Mestiza,NO APLICA,SANITAS EPS,2,Icetex,Cursando
52,1060098208,Erika,Reyes Jaramillo,erika.reyes52@uqvirtual.edu.co,3214992139,"Calle 30 # 1 - 78, Buenaventura",2019-2,Inscrito,Mujer,Casado,Colombiano,Valle Del Cauca,Buenaventura,Valle Del Cauca,Buenaventura,Pregrado,Distancia,Diurna,Fac. Ciencias de la Salud,Seguridad y Salud en el Trabajo,8,Buenaventura,Sin info,FRANCISCO JOSE DE CALDAS,Oficial,Negra,NO APLICA,COOMEVA EPS,2,Icetex,Abandonado
53,1004900178,Claudia,Orozco Jaramillo,claudia.orozco53@uqvirtual.edu.co,3199695027,"Calle 39 # 11 - 38, Calarca",2019-2,Inscrito,Mujer,Soltero,Colombiano,Quindío,Calarca,Quindío,Calarca,Pregrado,Distancia,Diurna,"Fac. Ciencias Economicas, adtivas y contables",Admon. negocios distancia,1,Armenia,Sin info,TECNOL¿GICO,Oficial,Blanca,NO APLICA,CAFESALUD,1,Icetex,Abandonado
54,1070719456,Ricardo,Sánchez Rodríguez,ricardo.sánchez54@uqvirtual.edu.co,3194887167,"Calle 32 # 1 - 30, Armenia",2019-2,Inscrito,Hombre,Soltero,Colombiano,Quindío,Armenia,Quindío,Armenia,Pregrado,Presencial,Diurna,Fac. Ciencias de la Salud,Gerontologia,10,Armenia,Sin info,GUSTAVO MATAMOROS D COSTA,Oficial,Blanca,NO APLICA,SURA,1,De contado,Finalizado
55,1006051780,Roberto,González Franco,roberto.gonzález55@uqvirtual.edu.co,3122556839,"Calle 40 # 19 - 12, Armenia",2019-2,Inscrito,Hombre,Casado,Colombiano,Quindío,Armenia,Quindío,Armenia,Postgrado,Presencial,Extendida,Fac. Ciencias de la Salud,Especializacion en Pediatria,10,Armenia,Sin info,INEM JOSE CELESTINO MUTIS,Oficial,Blanca,NO APLICA,SURA,3,Credito propio,Finalizado
56,1027557178,Juan,Villada Gómez,juan.villada56@uqvirtual.edu.co,3117350794,"Calle 40 # 1 - 85, Armenia",2019-2,Inscrito,Hombre,Soltero,Colombiano,Quindío,Armenia,Quindío,Armenia,Pregrado,Presencial,Nocturna,"Fac. Ciencias Economicas, adtivas y contables",Economia,5,Armenia,Sin info,RUFINO JOSE CUERVO CENTRO,Oficial,Blanca,NO APLICA,SISBEN,1,De contado,Abandonado
